DATE,OPEN,HIGH,LOW,CLOSE,MARKET CAP,STATUS,VALUE
13-Nov-17,5938.25,6811.19,5844.29,6559.49,"99,029,000,000",0.10461668,1
12-Nov-17,6295.45,6625.05,5519.01,5950.07,"104,980,000,000",-0.054861845,0
11-Nov-17,6618.61,6873.15,6204.22,6357.6,"110,362,000,000",-0.039435773,0
10-Nov-17,7173.73,7312,6436.87,6618.14,"119,607,000,000",-0.077447855,0
9-Nov-17,7446.83,7446.83,7101.52,7143.58,"124,146,000,000",-0.040722025,0
8-Nov-17,7141.38,7776.42,7114.02,7459.69,"119,041,000,000",0.044572618,1
7-Nov-17,7023.1,7253.32,7023.1,7144.38,"117,056,000,000",0.017268727,1
6-Nov-17,7403.22,7445.77,7007.31,7022.76,"123,379,000,000",-0.051391151,0
5-Nov-17,7404.52,7617.48,7333.19,7407.41,"123,388,000,000",0.000390302,1
4-Nov-17,7164.48,7492.86,7031.28,7379.95,"119,376,000,000",0.030074758,1
3-Nov-17,7087.53,7461.29,7002.94,7207.76,"118,084,000,000",0.016963597,1
2-Nov-17,6777.77,7367.33,6758.72,7078.5,"112,910,000,000",0.044370051,1
1-Nov-17,6440.97,6767.31,6377.88,6767.31,"107,287,000,000",0.050666282,1
31-Oct-17,6132.02,6470.43,6103.33,6468.4,"102,130,000,000",0.054856312,1
30-Oct-17,6114.85,6214.99,6040.85,6130.53,"101,833,000,000",0.002564249,1
29-Oct-17,5754.44,6255.71,5724.58,6153.85,"95,819,800,000",0.069409013,1
28-Oct-17,5787.82,5876.72,5689.19,5753.09,"96,369,600,000",-0.006000532,0
27-Oct-17,5899.74,5988.39,5728.82,5780.9,"98,225,400,000",-0.020143261,0
26-Oct-17,5747.95,5976.8,5721.22,5904.83,"95,685,100,000",0.027293209,1
25-Oct-17,5524.6,5754.33,5397.88,5750.8,"91,954,200,000",0.040944141,1
24-Oct-17,5935.52,5935.52,5504.18,5526.64,"98,781,600,000",-0.068886972,0
23-Oct-17,6006,6075.59,5732.47,5930.32,"99,941,600,000",-0.012600733,0
22-Oct-17,6036.66,6076.26,5792.34,6008.42,"100,438,000,000",-0.004678084,0
21-Oct-17,5996.79,6194.88,5965.07,6031.6,"99,763,200,000",0.005804772,1
20-Oct-17,5708.11,6060.11,5627.23,6011.45,"94,947,900,000",0.053141933,1
19-Oct-17,5583.74,5744.35,5531.06,5708.52,"92,867,000,000",0.022347029,1
18-Oct-17,5603.82,5603.82,5151.44,5590.69,"93,190,200,000",-0.002343045,0
17-Oct-17,5741.58,5800.35,5472.72,5605.51,"95,469,300,000",-0.023699051,0
16-Oct-17,5687.57,5776.23,5544.21,5725.59,"94,559,000,000",0.006684753,1
15-Oct-17,5835.96,5852.48,5478.61,5678.19,"97,011,900,000",-0.027034113,0
14-Oct-17,5643.53,5837.7,5591.64,5831.79,"93,803,000,000",0.033358554,1
13-Oct-17,5464.16,5840.3,5436.85,5647.21,"90,812,400,000",0.033500117,1
12-Oct-17,4829.58,5446.91,4822,5446.91,"80,256,700,000",0.127822709,1
11-Oct-17,4789.25,4873.73,4751.63,4826.48,"79,578,200,000",0.00777366,1
10-Oct-17,4776.21,4922.17,4765.1,4781.99,"79,351,800,000",0.001210165,1
9-Oct-17,4614.52,4878.71,4564.25,4772.02,"76,656,500,000",0.034131394,1
8-Oct-17,4429.67,4624.14,4405.64,4610.48,"73,575,400,000",0.040817939,1
7-Oct-17,4369.35,4443.88,4321.05,4426.89,"72,565,100,000",0.013169007,1
6-Oct-17,4324.46,4413.27,4320.53,4370.81,"71,810,600,000",0.010718101,1
5-Oct-17,4229.88,4362.64,4164.05,4328.41,"70,233,700,000",0.023293805,1
4-Oct-17,4319.37,4352.31,4210.42,4229.36,"71,712,500,000",-0.020838687,0
3-Oct-17,4408.46,4432.47,4258.89,4317.48,"73,181,300,000",-0.020637592,0
2-Oct-17,4395.81,4470.23,4377.46,4409.32,"72,963,200,000",0.003073381,1
1-Oct-17,4341.05,4403.74,4269.81,4403.74,"72,047,300,000",0.014441207,1
30-Sep-17,4166.11,4358.43,4160.86,4338.71,"69,136,600,000",0.041429535,1
29-Sep-17,4171.62,4214.63,4039.29,4163.07,"69,219,200,000",-0.002049563,0
28-Sep-17,4197.13,4279.31,4109.7,4174.73,"69,633,200,000",-0.00533698,0
27-Sep-17,3892.94,4210.05,3884.82,4200.67,"64,579,200,000",0.079048226,1
26-Sep-17,3928.41,3969.89,3869.9,3892.35,"65,161,000,000",-0.009179286,0
25-Sep-17,3681.58,3950.25,3681.58,3926.07,"61,061,100,000",0.066408987,1
24-Sep-17,3796.15,3796.15,3666.9,3682.84,"62,954,300,000",-0.029848662,0
23-Sep-17,3629.92,3819.21,3594.58,3792.4,"60,190,000,000",0.044761317,1
22-Sep-17,3628.02,3758.27,3553.53,3630.7,"60,152,300,000",0.000738695,1
21-Sep-17,3901.47,3916.42,3613.63,3631.04,"64,677,600,000",-0.069314899,0
20-Sep-17,3916.36,4031.39,3857.73,3905.95,"64,918,500,000",-0.00265808,0
19-Sep-17,4073.79,4094.07,3868.87,3924.97,"67,520,300,000",-0.036531093,0
18-Sep-17,3591.09,4079.23,3591.09,4065.2,"59,514,100,000",0.132023982,1
17-Sep-17,3606.28,3664.81,3445.64,3582.88,"59,757,800,000",-0.006488681,0
16-Sep-17,3637.75,3808.84,3487.79,3625.04,"60,271,600,000",-0.003493918,0
15-Sep-17,3166.3,3733.45,2946.62,3637.52,"52,453,500,000",0.148823548,1
14-Sep-17,3875.37,3920.6,3153.86,3154.95,"64,191,600,000",-0.185897089,0
13-Sep-17,4131.98,4131.98,3789.92,3882.59,"68,432,200,000",-0.060356052,0
12-Sep-17,4168.88,4344.65,4085.22,4130.81,"69,033,400,000",-0.009131949,0
11-Sep-17,4122.47,4261.67,4099.4,4161.27,"68,256,000,000",0.009411833,1
10-Sep-17,4229.34,4245.44,3951.04,4122.94,"70,018,100,000",-0.02515759,0
9-Sep-17,4229.81,4308.82,4114.11,4226.06,"70,017,200,000",-0.000886565,0
8-Sep-17,4605.16,4661,4075.18,4228.75,"76,220,200,000",-0.081736574,0
7-Sep-17,4589.14,4655.04,4491.33,4599.88,"75,945,000,000",0.002340308,1
6-Sep-17,4376.59,4617.25,4376.59,4597.12,"72,418,700,000",0.050388545,1
5-Sep-17,4228.29,4427.84,3998.11,4376.53,"69,954,400,000",0.03505909,1
4-Sep-17,4591.63,4591.63,4108.4,4236.31,"75,955,500,000",-0.077384284,0
3-Sep-17,4585.27,4714.08,4417.59,4582.96,"75,841,700,000",-0.000503787,0
2-Sep-17,4901.42,4975.04,4469.24,4578.77,"81,060,600,000",-0.065827862,0
1-Sep-17,4701.76,4892.01,4678.53,4892.01,"77,748,400,000",0.040463571,1
31-Aug-17,4555.59,4736.05,4549.4,4703.39,"75,322,300,000",0.032443657,1
30-Aug-17,4570.36,4626.52,4471.41,4565.3,"75,556,600,000",-0.001107134,0
29-Aug-17,4389.21,4625.68,4352.13,4579.02,"72,553,800,000",0.043244684,1
28-Aug-17,4384.45,4403.93,4224.64,4382.66,"72,467,900,000",-0.000408261,0
27-Aug-17,4345.1,4416.59,4317.29,4382.88,"71,809,200,000",0.008694852,1
26-Aug-17,4372.06,4379.28,4269.52,4352.4,"72,249,100,000",-0.004496736,0
25-Aug-17,4332.82,4455.7,4307.35,4371.6,"71,595,100,000",0.008950291,1
24-Aug-17,4137.6,4376.39,4130.26,4334.68,"68,363,900,000",0.047631477,1
23-Aug-17,4089.01,4255.78,4078.41,4151.52,"67,553,000,000",0.015287319,1
22-Aug-17,3998.35,4128.76,3674.58,4100.52,"66,051,000,000",0.025553041,1
21-Aug-17,4090.48,4109.14,3988.6,4001.74,"67,567,100,000",-0.021694275,0
20-Aug-17,4189.31,4196.29,4069.88,4087.66,"69,192,700,000",-0.024264139,0
19-Aug-17,4137.75,4243.26,3970.55,4193.7,"68,333,100,000",0.013521842,1
18-Aug-17,4324.34,4370.13,4015.4,4160.62,"71,406,500,000",-0.037860113,0
17-Aug-17,4384.44,4484.7,4243.71,4331.69,"72,389,100,000",-0.012031183,0
16-Aug-17,4200.34,4381.23,3994.42,4376.63,"69,342,700,000",0.041970412,1
15-Aug-17,4326.99,4455.97,3906.18,4181.93,"71,425,500,000",-0.033524459,0
14-Aug-17,4066.1,4325.13,3989.16,4325.13,"67,112,300,000",0.063704779,1
13-Aug-17,3880.04,4208.39,3857.8,4073.26,"64,034,100,000",0.049798456,1
12-Aug-17,3650.63,3949.92,3613.7,3884.71,"60,242,100,000",0.064120439,1
11-Aug-17,3373.82,3679.72,3372.12,3650.62,"55,668,000,000",0.0820435,1
10-Aug-17,3341.84,3453.45,3319.47,3381.28,"55,134,700,000",0.011801882,1
9-Aug-17,3420.4,3422.76,3247.67,3342.47,"56,424,900,000",-0.022783885,0
8-Aug-17,3370.22,3484.85,3345.83,3419.94,"55,590,300,000",0.014752746,1
7-Aug-17,3212.78,3397.68,3180.89,3378.94,"52,987,300,000",0.051718449,1
6-Aug-17,3257.61,3293.29,3155.6,3213.94,"53,720,900,000",-0.013405534,0
5-Aug-17,2897.63,3290.01,2874.83,3252.91,"47,778,200,000",0.122610547,1
4-Aug-17,2806.93,2899.33,2743.72,2895.89,"46,276,200,000",0.031692988,1
3-Aug-17,2709.56,2813.31,2685.14,2804.73,"44,666,400,000",0.035123784,1
2-Aug-17,2727.13,2762.53,2668.59,2710.67,"44,950,800,000",-0.006035649,0
1-Aug-17,2871.3,2921.35,2685.61,2718.26,"47,321,800,000",-0.053299899,0
31-Jul-17,2763.24,2889.62,2720.61,2875.34,"45,535,800,000",0.040568318,1
30-Jul-17,2724.39,2758.53,2644.85,2757.18,"44,890,700,000",0.012035722,1
29-Jul-17,2807.02,2808.76,2692.8,2726.45,"46,246,700,000",-0.028703037,0
28-Jul-17,2679.73,2897.45,2679.73,2809.01,"44,144,400,000",0.048243666,1
27-Jul-17,2538.71,2693.32,2529.34,2671.78,"41,816,500,000",0.052416385,1
26-Jul-17,2577.77,2610.76,2450.8,2529.45,"42,455,000,000",-0.018744884,0
25-Jul-17,2757.5,2768.08,2480.96,2576.48,"45,410,100,000",-0.065646419,0
24-Jul-17,2732.7,2777.26,2699.19,2754.86,"44,995,600,000",0.008109196,1
23-Jul-17,2808.1,2832.18,2653.94,2730.4,"46,231,100,000",-0.027669955,0
22-Jul-17,2668.63,2862.42,2657.71,2810.12,"43,929,600,000",0.053019714,1
21-Jul-17,2838.41,2838.41,2621.85,2667.76,"46,719,000,000",-0.060121688,0
20-Jul-17,2269.89,2900.7,2269.89,2817.6,"37,356,800,000",0.241293631,1
19-Jul-17,2323.08,2397.17,2260.23,2273.43,"38,227,800,000",-0.021372488,0
18-Jul-17,2233.52,2387.61,2164.77,2318.88,"36,749,400,000",0.038217701,1
17-Jul-17,1932.62,2230.49,1932.62,2228.41,"31,795,000,000",0.153051298,1
16-Jul-17,1991.98,2058.77,1843.03,1929.82,"32,767,600,000",-0.031205133,0
15-Jul-17,2230.12,2231.14,1990.41,1998.86,"36,681,300,000",-0.103698456,0
14-Jul-17,2360.59,2363.25,2183.22,2233.34,"38,823,100,000",-0.053906015,0
13-Jul-17,2402.7,2425.22,2340.83,2357.9,"39,511,000,000",-0.01864569,0
12-Jul-17,2332.77,2423.71,2275.14,2398.84,"38,355,900,000",0.028322552,1
11-Jul-17,2385.89,2413.47,2296.81,2337.79,"39,224,200,000",-0.020160192,0
10-Jul-17,2525.25,2537.16,2321.13,2372.56,"41,509,000,000",-0.0604653,0
9-Jul-17,2572.61,2635.49,2517.59,2518.44,"42,283,200,000",-0.021056437,0
8-Jul-17,2520.27,2571.34,2492.31,2571.34,"41,417,700,000",0.020263702,1
7-Jul-17,2608.59,2916.14,2498.87,2518.66,"42,864,200,000",-0.034474563,0
6-Jul-17,2608.1,2616.72,2581.69,2608.56,"42,851,400,000",0.000176374,1
5-Jul-17,2602.87,2622.65,2538.55,2601.99,"42,760,800,000",-0.000338088,0
4-Jul-17,2561,2631.59,2559.35,2601.64,"42,067,900,000",0.015868801,1
3-Jul-17,2498.56,2595,2480.47,2564.06,"41,037,200,000",0.0262151,1
2-Jul-17,2436.4,2514.28,2394.84,2506.47,"40,010,500,000",0.028759645,1
1-Jul-17,2492.6,2515.27,2419.23,2434.55,"40,928,200,000",-0.023288935,0
30-Jun-17,2539.24,2559.25,2478.43,2480.84,"41,689,100,000",-0.022999008,0
29-Jun-17,2567.56,2588.83,2510.48,2539.32,"42,150,300,000",-0.010998769,0
28-Jun-17,2553.03,2603.98,2484.42,2574.79,"41,906,700,000",0.008523206,1
27-Jun-17,2478.45,2552.45,2332.99,2552.45,"40,677,900,000",0.029857371,1
26-Jun-17,2590.57,2615.25,2376.29,2478.45,"42,514,000,000",-0.04328005,0
25-Jun-17,2607.25,2682.26,2552.12,2589.41,"42,783,800,000",-0.006842459,0
24-Jun-17,2738.52,2757.94,2583.19,2608.72,"44,932,900,000",-0.047397865,0
23-Jun-17,2707.34,2765.17,2706.37,2744.91,"44,415,900,000",0.01387709,1
22-Jun-17,2691.03,2723.74,2642.36,2705.41,"44,143,700,000",0.005343679,1
21-Jun-17,2709.43,2772.01,2660.4,2689.1,"44,440,800,000",-0.007503423,0
20-Jun-17,2591.26,2763.45,2589.82,2721.79,"42,498,000,000",0.050373178,1
19-Jun-17,2549.03,2662.85,2549.03,2589.6,"41,800,600,000",0.015915858,1
18-Jun-17,2655.35,2662.1,2516.33,2548.29,"43,539,300,000",-0.040318602,0
17-Jun-17,2514.01,2685.19,2484.96,2655.88,"41,217,200,000",0.056431756,1
16-Jun-17,2469.57,2539.92,2385.15,2518.56,"40,484,100,000",0.019837462,1
15-Jun-17,2499.58,2534.71,2212.96,2464.58,"40,971,300,000",-0.014002352,0
14-Jun-17,2716.88,2786.83,2412.94,2506.37,"44,528,300,000",-0.077482259,0
13-Jun-17,2680.91,2789.04,2650.38,2717.02,"43,934,100,000",0.013469307,1
12-Jun-17,2953.22,2997.26,2518.56,2659.63,"48,391,200,000",-0.099413522,0
11-Jun-17,2942.41,2996.6,2840.53,2958.11,"48,208,700,000",0.005335762,1
10-Jun-17,2828.14,2950.99,2746.55,2947.71,"46,331,400,000",0.042278671,1
9-Jun-17,2807.44,2901.71,2795.62,2823.81,"45,987,100,000",0.005830935,1
8-Jun-17,2720.49,2815.3,2670.95,2805.62,"44,557,100,000",0.031292157,1
7-Jun-17,2869.38,2869.38,2700.56,2732.16,"46,989,800,000",-0.047822178,0
6-Jun-17,2690.84,2999.91,2690.84,2863.2,"44,061,000,000",0.064054347,1
5-Jun-17,2512.4,2686.81,2510.22,2686.81,"41,133,900,000",0.069419678,1
4-Jun-17,2547.79,2585.89,2452.54,2511.81,"41,708,200,000",-0.014122043,0
3-Jun-17,2493.72,2581.91,2423.57,2515.35,"40,817,100,000",0.008673789,1
2-Jun-17,2404.03,2488.55,2373.32,2488.55,"39,344,600,000",0.035157631,1
1-Jun-17,2288.33,2448.39,2288.33,2407.88,"37,446,200,000",0.052243339,1
31-May-17,2187.19,2311.08,2145.57,2286.41,"35,786,700,000",0.045364143,1
30-May-17,2255.36,2301.96,2124.57,2175.47,"36,897,000,000",-0.035422283,0
29-May-17,2159.43,2307.05,2107.17,2255.61,"35,323,500,000",0.044539531,1
28-May-17,2054.08,2267.34,2054.08,2155.8,"33,595,900,000",0.049520953,1
27-May-17,2196.27,2260.2,1855.83,2038.87,"35,917,100,000",-0.071666963,0
26-May-17,2320.89,2573.79,2071.99,2202.42,"37,950,600,000",-0.051045073,0
25-May-17,2446.24,2763.71,2285.3,2304.98,"39,995,400,000",-0.057745765,0
24-May-17,2321.37,2523.72,2321.37,2443.64,"37,949,200,000",0.052671483,1
23-May-17,2191.56,2320.82,2178.5,2320.42,"35,822,600,000",0.058798299,1
22-May-17,2043.19,2303.9,2017.87,2173.4,"33,393,600,000",0.063728777,1
21-May-17,2067.03,2119.08,2037.5,2041.2,"33,779,400,000",-0.01249619,0
20-May-17,1984.24,2084.73,1974.92,2084.73,"32,422,400,000",0.050644075,1
19-May-17,1897.37,2004.52,1890.25,1987.71,"30,999,000,000",0.047613275,1
18-May-17,1818.7,1904.48,1807.12,1888.65,"29,710,500,000",0.038461538,1
17-May-17,1726.73,1864.05,1661.91,1839.09,"28,204,800,000",0.065070972,1
16-May-17,1741.7,1785.94,1686.54,1734.45,"28,446,300,000",-0.0041626,0
15-May-17,1808.44,1812.8,1708.54,1738.43,"29,532,600,000",-0.038712924,0
14-May-17,1800.86,1831.42,1776.62,1808.91,"29,405,100,000",0.004470087,1
13-May-17,1723.12,1812.99,1651.08,1804.91,"28,132,300,000",0.047466224,1
12-May-17,1845.76,1856.15,1694.01,1724.24,"30,131,100,000",-0.065837379,0
11-May-17,1780.37,1873.93,1755.35,1848.57,"29,060,600,000",0.038306644,1
10-May-17,1756.52,1788.44,1719.1,1787.13,"28,668,100,000",0.017426502,1
9-May-17,1723.89,1833.49,1716.3,1755.36,"28,132,200,000",0.018255225,1
8-May-17,1596.92,1723.35,1596.92,1723.35,"26,056,500,000",0.079171154,1
7-May-17,1579.47,1596.72,1559.76,1596.71,"25,768,500,000",0.010915054,1
6-May-17,1556.81,1578.8,1542.5,1578.8,"25,395,600,000",0.014125038,1
5-May-17,1540.87,1618.03,1530.31,1555.45,"25,133,100,000",0.009462187,1
4-May-17,1490.72,1608.91,1490.72,1537.67,"24,311,900,000",0.031494848,1
3-May-17,1453.78,1492.77,1447.49,1490.09,"23,707,100,000",0.024976269,1
2-May-17,1421.03,1473.9,1415.69,1452.82,"23,170,200,000",0.022371097,1
1-May-17,1348.3,1434.32,1348.3,1421.6,"21,981,800,000",0.054364756,1
30-Apr-17,1321.87,1347.91,1314.92,1347.89,"21,548,400,000",0.019684235,1
29-Apr-17,1317.84,1327.2,1315.21,1321.79,"21,479,800,000",0.002997329,1
28-Apr-17,1317.74,1331.28,1292.37,1316.48,"21,476,000,000",-0.000956183,0
27-Apr-17,1281.88,1319.7,1281.3,1317.73,"20,889,200,000",0.027966736,1
26-Apr-17,1265.99,1294.83,1265.93,1281.08,"20,627,900,000",0.011919525,1
25-Apr-17,1250.45,1267.58,1249.97,1265.49,"20,372,300,000",0.01202767,1
